Codice Cliente,Ship To Location,Ragione Sociale,Categoria Cliente,Indirizzo Consegna,Shipping Information,Note Scarico,GDO,Customer Match Key,Address Match Key
515145,1070283,ESSELUNGA SPA,VTIT-ESSELUNGA,VIA SAM QUILLERI 1 25032 CHIARI,,,SI,ESSELUNGA SPA,VIA SAM QUILLERI 1 25032 CHIARI
515145,1070285,ESSELUNGA SPA,VTIT-ESSELUNGA,"VIA TEVERE, 3/5 LOC. OSMANNORO 50019 SESTO FIORENTINO",,,SI,ESSELUNGA SPA,VIA TEVERE 3 5 LOC OSMANNORO 50019 SESTO FIORENTINO
515145,1071478,ESSELUNGA SPA,VTIT-ESSELUNGA,VIA PAPA GIOVANNI XXIII 6 20060 LISCATE,,,SI,ESSELUNGA SPA,VIA PAPA GIOVANNI XXIII 6 20060 LISCATE
515145,1071480,ESSELUNGA SPA,VTIT-ESSELUNGA,VIA LIONE 2 LOC. MACROLOTTO 59100 PRATO,,,SI,ESSELUNGA SPA,VIA LIONE 2 LOC MACROLOTTO 59100 PRATO
537143,1075077,RUSSO GIOCATTOLI SRL,VTIT-WHOLESALERS,ISOLA 1 106 80035 CIS NOLA,,,SI,RUSSO GIOCATTOLI SRL,ISOLA 1 106 80035 CIS NOLA
540143,1076191,TERMINAL DISTRIBUZIONE SRL,VTIT-WHOLESALERS,VIA XXV APRILE 32 40057 GRANAROLO DELL'EMILIA,"09,00/12,30 - 14,30/18,00",,SI,TERMINAL DISTRIBUZIONE SRL,VIA XXV APRILE 32 40057 GRANAROLO DELL EMILIA
541144,1076347,EDEN CART srl,VTIT-WHOLESALERS,"S.S. 100 KM18 C/O ""IL BARICENTRO"" LOTTO 15 MODULO A/1, A/2, A/3 70010 CASAMASSIMA",,,SI,EDEN CART SRL,S S 100 KM18 C O IL BARICENTRO LOTTO 15 MODULO A 1 A 2 A 3 70010 CASAMASSIMA
542144,,PROMOTICA SPA,VTIT-OTHERS HYPER,"ITALSEMPIONE SPA
VIA THOMAS EDISON 2, ZONA INDUSTRIALE ASPIO 60027 OSIMO","PRENOTARE SCARICO VIA MAIL INSERENDO NELL’OGGETTO LA VS RAGIONE SOCIALE
E ANTICIPANDO LA BOLLA A: logistica.marche@italsempione.it logistica@promotica.it
Orari 8:30-12:30",,SI,PROMOTICA SPA,ITALSEMPIONE SPA VIA THOMAS EDISON 2 ZONA INDUSTRIALE ASPIO 60027 OSIMO
544144,1076797,SANITAL GROUP S.R.L.,VTIT-WHOLESALERS,CONTRADA FAVARELLA SNC 93100 CALTANISSETTA,,,SI,SANITAL GROUP S R L,CONTRADA FAVARELLA SNC 93100 CALTANISSETTA
551143,1079220,BENNET S.P.A.,VTIT-BENNET,DEPOSITO NO-FOOD S.S. LOMELLINA KM11 15057 TORTONA,,,SI,BENNET S P A,DEPOSITO NO FOOD S S LOMELLINA KM11 15057 TORTONA
